department_id,department_name,ministry_id,ministry_name,jurisdiction,document_count,pdf_count,validated_pdf_count,failed_pdf_count,unavailable_pdf_count,last_updated
886,"Government College, Daman",63,NO MINISTRY,UNION_TERRITORY,1,0,0,0,0,2026-08-19 21:27:31.939768
131,LOCAL AUDIT,67,NO MINISTRY,STATE,1,0,0,0,0,2026-08-19 21:27:32.008255
936,Department of Planning,82,NO MINISTRY,STATE,1,0,0,0,0,2026-08-19 21:27:32.021942
1397,Pepsu Road Transport Corporation,82,NO MINISTRY,STATE,4,0,0,0,0,2026-08-19 21:27:41.598785
232,Home Department,78,NO MINISTRY,STATE,4,0,0,0,0,2026-08-19 21:27:36.157033
200,Public Enterprises,80,NO MINISTRY,STATE,1,0,0,0,0,2026-08-19 21:27:32.078211
1493,School Education Department,189,NO MINISTRY,UNION_TERRITORY,2,0,0,0,0,2026-08-19 21:27:35.515864
1552,Department of Khadi and Grama Udyog,89,NO MINISTRY,STATE,1,0,0,0,0,2026-08-19 21:27:32.205220
1654,Zila Parishad,60,NO MINISTRY,UNION_TERRITORY,1,0,0,0,0,2026-08-19 21:27:32.251452
960,Department of Cooperation,82,NO MINISTRY,STATE,1,0,0,0,0,2026-08-19 21:27:32.267079
982,Department of Food Processing,82,NO MINISTRY,STATE,1,0,0,0,0,2026-08-19 21:27:32.282179
1525,WOMEN AND CHILD DEVELOPMENT DEPARTMENT,67,NO MINISTRY,STATE,2,0,0,0,0,2026-08-19 21:27:35.955717
1507,DIRECTORATE OF ARCHAEOLOGY & MUSEUMS,67,NO MINISTRY,STATE,2,0,0,0,0,2026-08-19 21:27:34.533950
347,Planning Department,56,NO MINISTRY,STATE,1,0,0,0,0,2026-08-19 21:27:32.368272
733,"Tourism, Art and Culture, Sports and Youth Affairs Department, Government of Jharkhand",70,NO MINISTRY,STATE,3,0,0,0,0,2026-08-19 21:27:46.131096
805,Department of Forest and Wildlife,64,NO MINISTRY,UNION_TERRITORY,2,0,0,0,0,2026-08-19 21:27:34.756598
984,Department of Youth Services,82,NO MINISTRY,STATE,1,0,0,0,0,2026-08-19 21:27:32.869824
1288,PUBLIC WORKS DEPARTMENT,175,PUBLIC WORKS DEPARTMENT,STATE,1,0,0,0,0,2026-08-19 21:27:32.945250
773,"Youth Advancement, Tourism and Culture",86,NO MINISTRY,STATE,2,0,0,0,0,2026-08-19 21:27:35.778975
1292,Commerce & Transport (Commerce),80,NO MINISTRY,STATE,1,0,0,0,0,2026-08-19 21:27:33.128553
530,Election Department,58,NO MINISTRY,STATE,3,0,0,0,0,2026-08-19 21:27:37.627572
1197,Urban Development Department,63,NO MINISTRY,UNION_TERRITORY,2,0,0,0,0,2026-08-19 21:27:37.669082
223,Department of Cooperation.,57,NO MINISTRY,STATE,1,0,0,0,0,2026-08-19 21:27:33.204804
1310,Labour Department,131,No Ministry,STATE,1,0,0,0,0,2026-08-19 21:27:33.218497
1059,"Civil Aviation Department, Government of Goa",65,NO MINISTRY,STATE,3,0,0,0,0,2026-08-19 21:27:46.170273
736,DIRECTORATE OF PANCHAYAT,73,NO MINISTRY,UNION_TERRITORY,2,0,0,0,0,2026-08-19 21:27:37.442383
1358,Scheduled Tribes Dept,72,NO MINISTRY,STATE,1,0,0,0,0,2026-08-19 21:27:33.350237
1334,Finance (Expenditure Control - I) Department,58,NO MINISTRY,STATE,1,0,0,0,0,2026-08-19 21:27:33.404908
1498,ROAD CONSTRUCTION DEPARTMENT,59,NO MINISTRY,STATE,1,0,0,0,0,2026-08-19 21:27:33.404908
387,DEPARTMENT OF PANCHAYATI RAJ,89,NO MINISTRY,STATE,1,0,0,0,0,2026-08-19 21:27:33.419424
1269,Scheduled Castes Dept,72,NO MINISTRY,STATE,1,0,0,0,0,2026-08-19 21:27:33.595166
1580,Minority Welfare Department,59,NO MINISTRY,STATE,2,0,0,0,0,2026-08-19 21:27:41.056943
289,Fisherman Welfare and Fisheries Development Department,74,NO MINISTRY,STATE,3,0,0,0,0,2026-08-19 21:27:39.335656
977,Soil Conservation,82,NO MINISTRY,STATE,2,0,0,0,0,2026-08-19 21:27:34.512840
615,Building and Housing Department,131,No Ministry,STATE,3,0,0,0,0,2026-08-19 21:27:36.929803
1659,State GST (Finance),89,NO MINISTRY,STATE,4,0,0,0,0,2026-08-19 21:27:46.044694
1366,DEPARTMENT OF RURAL DEVELOPMENT,89,NO MINISTRY,STATE,1,0,0,0,0,2026-08-19 21:27:33.666894
349,Social Welfare Department,56,NO MINISTRY,STATE,2,0,0,0,0,2026-08-19 21:27:38.494006
1652,Industries,60,NO MINISTRY,UNION_TERRITORY,2,0,0,0,0,2026-08-19 21:27:37.587071
973,Department of Transport,82,NO MINISTRY,STATE,5,0,0,0,0,2026-08-19 21:27:40.709631
1249,Food Civil Supplies & Consumer Affairs,72,NO MINISTRY,STATE,1,0,0,0,0,2026-08-19 21:27:34.234401
780,DEPARTMENT OF CORRUPTION AND PUBLIC SERVICES,89,NO MINISTRY,STATE,1,0,0,0,0,2026-08-19 21:27:34.269626
1164,"Vigilance Department, Government of Goa",65,NO MINISTRY,STATE,1,0,0,0,0,2026-08-19 21:27:34.288188
1281,Co-operation,72,NO MINISTRY,STATE,1,0,0,0,0,2026-08-19 21:27:34.433441
298,Backward Classes and Minorities Welfare Department,74,NO MINISTRY,STATE,1,0,0,0,0,2026-08-19 21:27:34.462213
1606,Fisheries Department,67,NO MINISTRY,STATE,1,0,0,0,0,2026-08-19 21:27:34.486522
846,Animal Husbandry,60,NO MINISTRY,UNION_TERRITORY,2,0,0,0,0,2026-08-19 21:27:39.626018
