ministry_id,ministry_name,jurisdiction,department_count,document_count,pdf_count,validated_pdf_count,failed_pdf_count,unavailable_pdf_count,last_updated
65,NO MINISTRY,STATE,40,239,3,1,0,0,2026-08-19 21:27:46.300669
37,Ministry of Communications,CENTRAL,2,195,0,0,0,0,2026-08-19 21:27:46.066116
91,Andaman and Nicobar Administration,UNION_TERRITORY,25,270,0,0,0,0,2026-08-19 21:27:46.330409
33,Ministry of Parliamentary Affairs,CENTRAL,0,47,0,0,0,0,2026-08-19 21:27:46.224057
117,Home,STATE,2,41,0,0,0,0,2026-08-19 21:27:46.103291
81,NO MINISTRY,UNION_TERRITORY,1,87,0,0,0,0,2026-08-19 21:27:46.415575
27,Ministry of Culture,CENTRAL,0,245,0,0,0,0,2026-08-19 21:27:46.416153
46,"Ministry of Micro, Small and Medium Enterprises",CENTRAL,0,152,0,0,0,0,2026-08-19 21:27:46.272169
35,Ministry of Chemicals and Fertilizers,CENTRAL,2,106,0,0,0,0,2026-08-19 21:27:46.332733
18,Ministry of Rural Development,CENTRAL,2,436,0,0,0,0,2026-08-19 21:27:46.393316
15,Ministry of Mines,CENTRAL,0,130,0,0,0,0,2026-08-19 21:27:46.331562
7,Ministry of Shipping,CENTRAL,0,206,0,0,0,0,2026-08-19 21:27:46.415575
38,Department of Atomic Energy,CENTRAL,0,60,0,0,0,0,2026-08-19 21:27:46.171275
172,HOME,STATE,1,11,0,0,0,0,2026-08-19 21:27:35.866597
114,Social Justice and Empowerment,STATE,0,5,0,0,0,0,2026-08-19 21:27:35.534580
189,NO MINISTRY,UNION_TERRITORY,15,37,0,0,0,0,2026-08-19 21:27:39.287030
8,Ministry of Coal,CENTRAL,0,101,0,0,0,0,2026-08-19 21:27:46.170273
102,Excise and Taxation,STATE,0,7,0,0,0,0,2026-08-19 21:27:42.975576
108,General Administration,STATE,0,11,0,0,0,0,2026-08-19 21:27:42.662051
120,Law,STATE,1,14,0,0,0,0,2026-08-19 21:27:45.821727
44,Ministry of Minority Affairs,CENTRAL,0,157,0,0,0,0,2026-08-19 21:27:46.223548
121,Revenue,STATE,0,17,0,0,0,0,2026-08-19 21:27:46.329324
78,NO MINISTRY,STATE,15,83,0,0,0,0,2026-08-19 21:27:46.287274
155,Urban Development,STATE,0,8,0,0,0,0,2026-08-19 21:27:42.861211
31,Ministry of Science and Technology,CENTRAL,3,120,0,0,0,0,2026-08-19 21:27:46.415575
101,Education,STATE,0,29,0,0,0,0,2026-08-19 21:27:46.286651
4,Ministry of Steel,CENTRAL,0,36,0,0,0,0,2026-08-19 21:27:46.171275
54,Ministry of Skill Development and Entrepreneurship,CENTRAL,0,35,0,0,0,0,2026-08-19 21:27:46.102722
153,"Environment, Science and Technologies",STATE,0,1,0,0,0,0,2026-08-19 21:27:20.157969
98,Agriculture,STATE,1,5,0,0,0,0,2026-08-19 21:27:38.361969
180,LAW AND JUSTICE,STATE,1,9,0,0,0,0,2026-08-19 21:27:39.286047
163,Jal Shakti,STATE,0,3,0,0,0,0,2026-08-19 21:27:30.839390
109,Health and Family Welfare,STATE,0,10,0,0,0,0,2026-08-19 21:27:46.157868
118,Industries,STATE,0,7,0,0,0,0,2026-08-19 21:27:39.013428
191,HIGHER EDUCATION,STATE,1,6,0,0,0,0,2026-08-19 21:27:45.880607
39,Ministry of Food Processing Industries,CENTRAL,1,28,0,0,0,0,2026-08-19 21:27:46.221804
106,Forest,STATE,0,3,0,0,0,0,2026-08-19 21:27:36.155812
201,Ministry of Environment and Forest,UNION_TERRITORY,1,3,0,0,0,0,2026-08-19 21:27:27.755867
161,Rural Development/Panchayati Raj,STATE,0,2,0,0,0,0,2026-08-19 21:27:26.272645
