ministry_id,ministry_name,department_id,department_name,jurisdiction,document_count,pdf_count
63,NO MINISTRY,863,Department of Education,UNION_TERRITORY,6,0
60,NO MINISTRY,847,Department of Engineering,UNION_TERRITORY,13,0
58,NO MINISTRY,546,Labour and Welfare Department,STATE,23,0
61,State Government,334,DEPARTMENT OF LAW AND LEGISLATIVE AFFAIRS,STATE,86,0
131,No Ministry,1296,Human Resource Development Department,STATE,12,0
86,NO MINISTRY,749,Finance,STATE,62,0
71,NO MINISTRY,600,Women & Child Development Department,STATE,5,0
82,NO MINISTRY,987,Department of Jails,STATE,23,0
72,NO MINISTRY,1267,Revenue,STATE,23,0
89,NO MINISTRY,385,DEPARTMENT OF ANIMAL HUSBANDRY,STATE,19,0
64,NO MINISTRY,803,Directorate of Gurdwara Election,UNION_TERRITORY,3,0
58,NO MINISTRY,547,Urban Development Department,STATE,19,0
88,NO MINISTRY,442,Agriculture Education & Research,STATE,51,0
65,NO MINISTRY,829,"Law Department, Government of Goa",STATE,30,0
61,State Government,1034,DEPARTMENT OF CO-OPERATIVE,STATE,20,0
91,Andaman and Nicobar Administration,1208,Andaman and Nicobar Administration,UNION_TERRITORY,16,0
74,NO MINISTRY,258,Home Department,STATE,19,0
5,Ministry of Home Affairs,1461,Women Safety Division,CENTRAL,32,0
67,NO MINISTRY,138,HIGHER EDUCATION,STATE,12,0
88,NO MINISTRY,483,Namami Gange and Rural Water Supply,STATE,41,0
83,NO MINISTRY,1090,Ayurved and Indian Medicine Department,STATE,13,0
67,NO MINISTRY,126,PRISONS DEPARTMENT,STATE,9,0
83,NO MINISTRY,1096,Environment Department,STATE,30,0
70,NO MINISTRY,721,"Agriculture, Animal Husbandry and Co-operative Department, Government of Jharkhand",STATE,10,0
71,NO MINISTRY,590,"Information Technology, Bio-Technology & Science & Technology Department",STATE,8,0
85,NO MINISTRY,219,"Social Welfare and Nutritious Meal Programme Department, Government of Tamil Nadu",STATE,29,0
88,NO MINISTRY,494,Public Works Department,STATE,62,0
76,NO MINISTRY,185,Forest and Environment Department,STATE,5,0
166,Govt of Maharashtra,1474,Social Justice and Special Assistance Department,STATE,43,0
64,NO MINISTRY,699,Power Department,UNION_TERRITORY,19,0
64,NO MINISTRY,783,Delhi Transport Corporation,UNION_TERRITORY,8,0
88,NO MINISTRY,459,Excise,STATE,99,0
59,NO MINISTRY,841,HEALTH DEPARTMENT,STATE,33,0
83,NO MINISTRY,1131,Planning Department,STATE,43,0
71,NO MINISTRY,406,Agriculture Department,STATE,4,0
89,NO MINISTRY,414,DEPARTMENT OF DISASTER MANAGEMENT,STATE,27,0
74,NO MINISTRY,259,Finance Department,STATE,26,0
66,NO MINISTRY,317,Ports and Transport Department,STATE,40,0
71,NO MINISTRY,153,DEPARTMENT OF PARLIAMENTARY AFFAIRS,STATE,16,0
87,NO MINISTRY,1411,Public Works Department(R&B),STATE,2,0
61,State Government,1081,DEPARTMENT OF CULTURE AND ARCHAEOLOGY,STATE,10,0
61,State Government,1069,DEPARTMENT OF COMMERCE AND INDUSTRIES,STATE,20,0
67,NO MINISTRY,1545,"Department of School Education, Haryana",STATE,4,0
31,Ministry of Science and Technology,82,Department of Secientific and Industrial Research,CENTRAL,28,0
82,NO MINISTRY,966,Department of Health & Family Welfare,STATE,23,0
89,NO MINISTRY,398,DEPARTMENT OFINDUSTRIAL DEVELOPMENT,STATE,5,0
88,NO MINISTRY,455,Empowerment Of Persons With Disabilities,STATE,78,0
69,NO MINISTRY,617,Agriculture Production Department,UNION_TERRITORY,23,0
88,NO MINISTRY,447,Civil Aviation,STATE,10,0
70,NO MINISTRY,716,"ST/SC Minority and Backward Class Welfare Department, Government of Jharkhand",STATE,3,0
70,NO MINISTRY,578,"Law Department, Government of Jharkhand",STATE,4,0
65,NO MINISTRY,1329,"Fisheries Department, Government of Goa",STATE,3,0
64,NO MINISTRY,704,HOME DEPARTMENT,UNION_TERRITORY,8,0
65,NO MINISTRY,1663,Directorate of Fire & Emergency Services,STATE,1,0
66,NO MINISTRY,229,Revenue Department,STATE,25,0
64,NO MINISTRY,796,Department of Social Welfare,UNION_TERRITORY,14,0
189,NO MINISTRY,1480,Finance Department,UNION_TERRITORY,3,0
60,NO MINISTRY,1168,Land Acquisition Department,UNION_TERRITORY,24,0
61,State Government,1055,DEPARTMENT OF ENERGY,STATE,58,0
166,Govt of Maharashtra,1522,Soil and Water Conservation Department,STATE,40,0
71,NO MINISTRY,401,Law department,STATE,22,0
74,NO MINISTRY,292,"Technical Education, Skill Development and Employment Department",STATE,37,0
60,NO MINISTRY,1169,Deputy Commissioner,UNION_TERRITORY,10,0
74,NO MINISTRY,271,Labour Department,STATE,7,0
86,NO MINISTRY,750,General Administration,STATE,11,0
67,NO MINISTRY,616,AGRICULTURE AND FARMERS WELFARE DEPARTMENT,STATE,11,0
65,NO MINISTRY,1216,"Water Resource Department, Government of Goa",STATE,9,0
91,Andaman and Nicobar Administration,1510,Animal Husbandry and Veterinary Services,UNION_TERRITORY,5,0
60,NO MINISTRY,926,Environment,UNION_TERRITORY,27,0
71,NO MINISTRY,593,Labour Department,STATE,13,0
87,NO MINISTRY,377,Law Department,STATE,3,0
88,NO MINISTRY,516,Youth Welfare,STATE,13,0
166,Govt of Maharashtra,1470,Planning Department,STATE,32,0
69,NO MINISTRY,646,Trasnport,UNION_TERRITORY,74,0
88,NO MINISTRY,480,Law,STATE,86,0
