ministry_id,ministry_name,department_id,department_name,jurisdiction,document_count,pdf_count
67,NO MINISTRY,1607,New & Renewable Energy Department,STATE,2,0
65,NO MINISTRY,1331,"Education Department, Government of Goa",STATE,14,3
70,NO MINISTRY,713,"School Education and Literacy Department, Government of Jharkhand",STATE,4,0
76,NO MINISTRY,178,Labour Department,STATE,3,0
80,NO MINISTRY,382,Home,STATE,5,0
63,NO MINISTRY,868,Department of Finance & Accounts and Taxation,UNION_TERRITORY,2,0
67,NO MINISTRY,116,LABOUR DEPARTMENT,STATE,13,0
64,NO MINISTRY,820,Revenue Department,UNION_TERRITORY,7,0
91,Andaman and Nicobar Administration,1483,Department of Shipping Services,UNION_TERRITORY,2,0
131,No Ministry,656,Social Justice Empowerment & Welfare Department,STATE,1,0
64,NO MINISTRY,1407,Directorate of Higher Education,UNION_TERRITORY,3,0
60,NO MINISTRY,1205,Food & Supply,UNION_TERRITORY,20,0
88,NO MINISTRY,1433,Public Service Management,STATE,37,0
189,NO MINISTRY,1495,Agriculture Horticulture and Floriculture Department,UNION_TERRITORY,1,0
89,NO MINISTRY,378,DEPARTMENT OF TOURISM,STATE,20,0
64,NO MINISTRY,816,"Law, Justice and Legislative Affairs Department",UNION_TERRITORY,7,0
66,NO MINISTRY,318,Education Department,STATE,12,0
63,NO MINISTRY,870,Department of Rural Development/Panchayati Raj and Community Development,UNION_TERRITORY,7,0
